epoch,val_acc,loss_value
0,0.541025641025641,0.693042774382965
1,0.541025641025641,0.6921979296227367
2,0.5564102564102564,0.6910050286655436
3,0.5666666666666667,0.6899008224325349
4,0.5717948717948718,0.688807833132646
5,0.5692307692307692,0.6876395124774268
6,0.5769230769230769,0.6863600461882131
7,0.5871794871794872,0.6849593982766393
8,0.6153846153846154,0.6834554889290104
9,0.6410256410256411,0.6818502100847184
10,0.6487179487179487,0.6801132267883471
11,0.6564102564102564,0.6782173900396072
12,0.6666666666666666,0.6761433328822612
13,0.6846153846153846,0.6738611493708995
14,0.7,0.6713431001219388
15,0.6974358974358974,0.6685484774495039
16,0.6948717948717948,0.6654455832014755
17,0.6974358974358974,0.6620262542771023
18,0.6974358974358974,0.6583179690419718
19,0.7,0.6544777204692172
20,0.7051282051282052,0.6505845210554342
21,0.7076923076923077,0.646625661952024
22,0.7153846153846154,0.6425680662097201
23,0.717948717948718,0.6383875632672305
24,0.7230769230769231,0.6340721266857691
25,0.7230769230769231,0.6296400081844583
26,0.7256410256410256,0.6250811719571429
27,0.7230769230769231,0.6203835619971654
28,0.7230769230769231,0.6155532182746991
29,0.7205128205128205,0.6106106922742124
30,0.7205128205128205,0.6055619993172314
31,0.7230769230769231,0.6004252863195004
32,0.7230769230769231,0.5952083133309906
33,0.7230769230769231,0.5899322705049205
34,0.7230769230769231,0.584639015239162
35,0.7230769230769231,0.5793534180039782
36,0.7307692307692307,0.5741057014869957
37,0.7307692307692307,0.5688995155673956
38,0.7230769230769231,0.5637583959825746
39,0.7230769230769231,0.55868728368548
40,0.7282051282051282,0.5536791290344731
41,0.7307692307692307,0.5487357708941499
42,0.7307692307692307,0.5438497460853935
43,0.7333333333333333,0.5390299878188946
44,0.7384615384615385,0.5342849553870233
45,0.7410256410256411,0.5297314791372207
46,0.7410256410256411,0.5253365325788015
47,0.7435897435897436,0.521168215372724
48,0.7461538461538462,0.5171947563452717
49,0.7461538461538462,0.5133600280212579
50,0.7461538461538462,0.5096526764979034
51,0.7461538461538462,0.5060575137310076
52,0.7461538461538462,0.5025626032224326
53,0.7487179487179487,0.4991557793260685
